sample_title	cell_type
P1-6-A9	Ana6 matrix cells (TACs)
P1-6-B10	Ana6 matrix cells (TACs)
P1-6-B11	Ana6 matrix cells (TACs)
P1-6-B12	Ana6 matrix cells (TACs)
P1-6-B1	Ana6 matrix cells (TACs)
P1-6-B2	Ana6 matrix cells (TACs)
P1-6-B3	Ana6 matrix cells (TACs)
P1-6-B4	Ana6 matrix cells (TACs)
P1-6-B5	Ana6 matrix cells (TACs)
P1-6-B6	Ana6 matrix cells (TACs)
P1-6-B7	Ana6 matrix cells (TACs)
P1-6-B8	Ana6 matrix cells (TACs)
P1-6-C10	Ana6 matrix cells (TACs)
P1-6-C11	Ana6 matrix cells (TACs)
P1-6-C1	Ana6 matrix cells (TACs)
P1-6-C3	Ana6 matrix cells (TACs)
P1-6-C4	Ana6 matrix cells (TACs)
P1-6-C5	Ana6 matrix cells (TACs)
P1-6-C6	Ana6 matrix cells (TACs)
P1-6-C8	Ana6 matrix cells (TACs)
P1-6-C9	Ana6 matrix cells (TACs)
P1-6-D10	Ana6 matrix cells (TACs)
P1-6-D1	Ana6 matrix cells (TACs)
P1-6-D2	Ana6 matrix cells (TACs)
P1-6-D3	Ana6 matrix cells (TACs)
P1-6-D4	Ana6 matrix cells (TACs)
P1-6-D5	Ana6 matrix cells (TACs)
P1-6-D6	Ana6 matrix cells (TACs)
P1-6-D7	Ana6 matrix cells (TACs)
P1-6-D8	Ana6 matrix cells (TACs)
P1-6-D9	Ana6 matrix cells (TACs)
P1-6-E10	Ana6 matrix cells (TACs)
P1-6-E11	Ana6 matrix cells (TACs)
P1-6-E3	Ana6 matrix cells (TACs)
P1-6-E4	Ana6 matrix cells (TACs)
P1-6-E5	Ana6 matrix cells (TACs)
P1-6-E6	Ana6 matrix cells (TACs)
P1-6-E7	Ana6 matrix cells (TACs)
P1-6-E9	Ana6 matrix cells (TACs)
P1-6-F10	Ana6 matrix cells (TACs)
P1-6-F1	Ana6 matrix cells (TACs)
P1-6-F2	Ana6 matrix cells (TACs)
P1-6-F3	Ana6 matrix cells (TACs)
P1-6-F4	Ana6 matrix cells (TACs)
P1-6-F5	Ana6 matrix cells (TACs)
P1-6-F7	Ana6 matrix cells (TACs)
P1-6-F8	Ana6 matrix cells (TACs)
P1-6-F9	Ana6 matrix cells (TACs)
P1-6-G10	Ana6 matrix cells (TACs)
P1-6-G11	Ana6 matrix cells (TACs)
P1-6-G12	Ana6 matrix cells (TACs)
P1-6-G1	Ana6 matrix cells (TACs)
P1-6-G4	Ana6 matrix cells (TACs)
P1-6-G5	Ana6 matrix cells (TACs)
P1-6-G6	Ana6 matrix cells (TACs)
P1-6-G7	Ana6 matrix cells (TACs)
P1-6-G8	Ana6 matrix cells (TACs)
P1-6-G9	Ana6 matrix cells (TACs)
P1-6-H11	Ana6 matrix cells (TACs)
P1-6-H12	Ana6 matrix cells (TACs)
P1-6-H3	Ana6 matrix cells (TACs)
P1-6-H6	Ana6 matrix cells (TACs)
P1-6-H7	Ana6 matrix cells (TACs)
P1-6-H8	Ana6 matrix cells (TACs)
P1-6-H9	Ana6 matrix cells (TACs)
P2-1-A10	Ana6 matrix cells (TACs)
P2-1-A12	Ana6 matrix cells (TACs)
P2-1-A1	Ana6 matrix cells (TACs)
P2-1-A2	Ana6 matrix cells (TACs)
P2-1-A3	Ana6 matrix cells (TACs)
P2-1-A4	Ana6 matrix cells (TACs)
P2-1-A5	Ana6 matrix cells (TACs)
P2-1-A6	Ana6 matrix cells (TACs)
P2-1-A8	Ana6 matrix cells (TACs)
P2-1-A9	Ana6 matrix cells (TACs)
P2-1-B10	Ana6 matrix cells (TACs)
P2-1-B1	Ana6 matrix cells (TACs)
P2-1-B2	Ana6 matrix cells (TACs)
P2-1-B3	Ana6 matrix cells (TACs)
P2-1-B4	Ana6 matrix cells (TACs)
P2-1-B5	Ana6 matrix cells (TACs)
P2-1-B6	Ana6 matrix cells (TACs)
P2-1-B7	Ana6 matrix cells (TACs)
P2-1-B8	Ana6 matrix cells (TACs)
P2-1-B9	Ana6 matrix cells (TACs)
P2-1-C10	Ana6 matrix cells (TACs)
P2-1-C11	Ana6 matrix cells (TACs)
P2-1-C12	Ana6 matrix cells (TACs)
P2-1-C1	Ana6 matrix cells (TACs)
P2-1-C2	Ana6 matrix cells (TACs)
P2-1-C3	Ana6 matrix cells (TACs)
P2-1-C5	Ana6 matrix cells (TACs)
P2-1-C6	Ana6 matrix cells (TACs)
P2-1-C7	Ana6 matrix cells (TACs)
P2-1-C8	Ana6 matrix cells (TACs)
P2-1-D10	Ana6 matrix cells (TACs)
P2-1-D11	Ana6 matrix cells (TACs)
P2-1-D12	Ana6 matrix cells (TACs)
P2-1-D1	Ana6 matrix cells (TACs)
P2-1-D2	Ana6 matrix cells (TACs)
P2-1-D3	Ana6 matrix cells (TACs)
P2-1-D6	Ana6 matrix cells (TACs)
P2-1-D7	Ana6 matrix cells (TACs)
P2-1-D8	Ana6 matrix cells (TACs)
P2-1-D9	Ana6 matrix cells (TACs)
P2-1-E10	Ana6 matrix cells (TACs)
P2-1-E11	Ana6 matrix cells (TACs)
P2-1-E12	Ana6 matrix cells (TACs)
P2-1-E1	Ana6 matrix cells (TACs)
P2-1-E2	Ana6 matrix cells (TACs)
P2-1-E3	Ana6 matrix cells (TACs)
P2-1-E4	Ana6 matrix cells (TACs)
P2-1-E5	Ana6 matrix cells (TACs)
P2-1-E6	Ana6 matrix cells (TACs)
P2-1-E8	Ana6 matrix cells (TACs)
P2-1-E9	Ana6 matrix cells (TACs)
P2-1-F10	Ana6 matrix cells (TACs)
P2-1-F11	Ana6 matrix cells (TACs)
P2-1-F12	Ana6 matrix cells (TACs)
P2-1-F2	Ana6 matrix cells (TACs)
P2-1-F3	Ana6 matrix cells (TACs)
P2-1-F4	Ana6 matrix cells (TACs)
P2-1-F7	Ana6 matrix cells (TACs)
P2-1-F8	Ana6 matrix cells (TACs)
P2-1-F9	Ana6 matrix cells (TACs)
P2-1-G10	Ana6 matrix cells (TACs)
P2-1-G2	Ana6 matrix cells (TACs)
P2-1-G3	Ana6 matrix cells (TACs)
P2-1-G4	Ana6 matrix cells (TACs)
P2-1-G5	Ana6 matrix cells (TACs)
P2-1-G6	Ana6 matrix cells (TACs)
P2-1-G7	Ana6 matrix cells (TACs)
P2-1-G8	Ana6 matrix cells (TACs)
P2-1-G9	Ana6 matrix cells (TACs)
P2-1-H10	Ana6 matrix cells (TACs)
P2-1-H11	Ana6 matrix cells (TACs)
P2-1-H12	Ana6 matrix cells (TACs)
P2-1-H1	Ana6 matrix cells (TACs)
P2-1-H2	Ana6 matrix cells (TACs)
P2-1-H3	Ana6 matrix cells (TACs)
P2-1-H4	Ana6 matrix cells (TACs)
P2-1-H5	Ana6 matrix cells (TACs)
P2-1-H6	Ana6 matrix cells (TACs)
P2-1-H7	Ana6 matrix cells (TACs)
P2-1-H8	Ana6 matrix cells (TACs)
P2-1-H9	Ana6 matrix cells (TACs)
DP2_A10	Ana6 dernal papilla cells
DP2_A11	Ana6 dernal papilla cells
DP2_A1	Ana6 dernal papilla cells
DP2_A2	Ana6 dernal papilla cells
DP2_A3	Ana6 dernal papilla cells
DP2_A4	Ana6 dernal papilla cells
DP2_A5	Ana6 dernal papilla cells
DP2_A6	Ana6 dernal papilla cells
DP2_A7	Ana6 dernal papilla cells
DP2_A8	Ana6 dernal papilla cells
DP2_A9	Ana6 dernal papilla cells
DP2_B10	Ana6 dernal papilla cells
DP2_B11	Ana6 dernal papilla cells
DP2_B12	Ana6 dernal papilla cells
DP2_B1	Ana6 dernal papilla cells
DP2_B2	Ana6 dernal papilla cells
DP2_B3	Ana6 dernal papilla cells
DP2_B4	Ana6 dernal papilla cells
DP2_B5	Ana6 dernal papilla cells
DP2_B6	Ana6 dernal papilla cells
DP2_B7	Ana6 dernal papilla cells
DP2_B8	Ana6 dernal papilla cells
DP2_C10	Ana6 dernal papilla cells
DP2_C11	Ana6 dernal papilla cells
DP2_C1	Ana6 dernal papilla cells
DP2_C2	Ana6 dernal papilla cells
DP2_C3	Ana6 dernal papilla cells
DP2_C4	Ana6 dernal papilla cells
DP2_C5	Ana6 dernal papilla cells
DP2_C6	Ana6 dernal papilla cells
DP2_C7	Ana6 dernal papilla cells
DP2_C8	Ana6 dernal papilla cells
DP2_C9	Ana6 dernal papilla cells
DP2_D10	Ana6 dernal papilla cells
DP2_D12	Ana6 dernal papilla cells
DP2_D1	Ana6 dernal papilla cells
DP2_D3	Ana6 dernal papilla cells
DP2_D5	Ana6 dernal papilla cells
DP2_D6	Ana6 dernal papilla cells
DP2_D7	Ana6 dernal papilla cells
DP2_D8	Ana6 dernal papilla cells
DP2_D9	Ana6 dernal papilla cells
DP2_E10	Ana6 dernal papilla cells
DP2_E11	Ana6 dernal papilla cells
DP2_E12	Ana6 dernal papilla cells
DP2_E1	Ana6 dernal papilla cells
DP2_E2	Ana6 dernal papilla cells
DP2_E3	Ana6 dernal papilla cells
DP2_E4	Ana6 dernal papilla cells
DP2_E5	Ana6 dernal papilla cells
DP2_E6	Ana6 dernal papilla cells
DP2_E8	Ana6 dernal papilla cells
DP2_E9	Ana6 dernal papilla cells
DP2_F10	Ana6 dernal papilla cells
DP2_F11	Ana6 dernal papilla cells
DP2_F12	Ana6 dernal papilla cells
DP2_F1	Ana6 dernal papilla cells
DP2_F2	Ana6 dernal papilla cells
DP2_F3	Ana6 dernal papilla cells
DP2_F4	Ana6 dernal papilla cells
DP2_F5	Ana6 dernal papilla cells
DP2_F6	Ana6 dernal papilla cells
DP2_F7	Ana6 dernal papilla cells
DP2_F8	Ana6 dernal papilla cells
DP2_F9	Ana6 dernal papilla cells
DP2_G10	Ana6 dernal papilla cells
DP2_G11	Ana6 dernal papilla cells
DP2_G12	Ana6 dernal papilla cells
DP2_G1	Ana6 dernal papilla cells
DP2_G2	Ana6 dernal papilla cells
DP2_G3	Ana6 dernal papilla cells
DP2_G4	Ana6 dernal papilla cells
DP2_G5	Ana6 dernal papilla cells
DP2_G6	Ana6 dernal papilla cells
DP2_G7	Ana6 dernal papilla cells
DP2_G8	Ana6 dernal papilla cells
DP2_G9	Ana6 dernal papilla cells
DP2_H10	Ana6 dernal papilla cells
DP2_H1	Ana6 dernal papilla cells
DP2_H2	Ana6 dernal papilla cells
DP2_H3	Ana6 dernal papilla cells
DP2_H4	Ana6 dernal papilla cells
DP2_H5	Ana6 dernal papilla cells
DP2_H6	Ana6 dernal papilla cells
DP2_H7	Ana6 dernal papilla cells
DP2_H8	Ana6 dernal papilla cells
DP2_H9	Ana6 dernal papilla cells
DP3_A10	Ana6 dernal papilla cells
DP3_A11	Ana6 dernal papilla cells
DP3_A12	Ana6 dernal papilla cells
DP3_A1	Ana6 dernal papilla cells
DP3_A2	Ana6 dernal papilla cells
DP3_A3	Ana6 dernal papilla cells
DP3_A4	Ana6 dernal papilla cells
DP3_A6	Ana6 dernal papilla cells
DP3_A7	Ana6 dernal papilla cells
DP3_A8	Ana6 dernal papilla cells
DP3_A9	Ana6 dernal papilla cells
DP3_B10	Ana6 dernal papilla cells
DP3_B11	Ana6 dernal papilla cells
DP3_B12	Ana6 dernal papilla cells
DP3_B1	Ana6 dernal papilla cells
DP3_B2	Ana6 dernal papilla cells
DP3_B3	Ana6 dernal papilla cells
DP3_B4	Ana6 dernal papilla cells
DP3_B5	Ana6 dernal papilla cells
DP3_B6	Ana6 dernal papilla cells
DP3_B7	Ana6 dernal papilla cells
DP3_B8	Ana6 dernal papilla cells
DP3_B9	Ana6 dernal papilla cells
DP3_C10	Ana6 dernal papilla cells
DP3_C12	Ana6 dernal papilla cells
DP3_C1	Ana6 dernal papilla cells
DP3_C2	Ana6 dernal papilla cells
DP3_C3	Ana6 dernal papilla cells
DP3_C4	Ana6 dernal papilla cells
DP3_C5	Ana6 dernal papilla cells
DP3_C6	Ana6 dernal papilla cells
DP3_C7	Ana6 dernal papilla cells
DP3_C9	Ana6 dernal papilla cells
DP3_D10	Ana6 dernal papilla cells
DP3_D11	Ana6 dernal papilla cells
DP3_D12	Ana6 dernal papilla cells
DP3_D1	Ana6 dernal papilla cells
DP3_D2	Ana6 dernal papilla cells
DP3_D3	Ana6 dernal papilla cells
DP3_D4	Ana6 dernal papilla cells
DP3_D6	Ana6 dernal papilla cells
DP3_D7	Ana6 dernal papilla cells
DP3_D9	Ana6 dernal papilla cells
DP3_E10	Ana6 dernal papilla cells
DP3_E11	Ana6 dernal papilla cells
DP3_E12	Ana6 dernal papilla cells
DP3_E1	Ana6 dernal papilla cells
DP3_E3	Ana6 dernal papilla cells
DP3_E5	Ana6 dernal papilla cells
DP3_E6	Ana6 dernal papilla cells
DP3_E7	Ana6 dernal papilla cells
DP3_E8	Ana6 dernal papilla cells
DP3_E9	Ana6 dernal papilla cells
DP3_F10	Ana6 dernal papilla cells
DP3_F11	Ana6 dernal papilla cells
DP3_F12	Ana6 dernal papilla cells
DP3_F1	Ana6 dernal papilla cells
DP3_F2	Ana6 dernal papilla cells
DP3_F3	Ana6 dernal papilla cells
DP3_F4	Ana6 dernal papilla cells
DP3_F5	Ana6 dernal papilla cells
DP3_F6	Ana6 dernal papilla cells
DP3_F7	Ana6 dernal papilla cells
DP3_F8	Ana6 dernal papilla cells
DP3_F9	Ana6 dernal papilla cells
DP3_G10	Ana6 dernal papilla cells
DP3_G12	Ana6 dernal papilla cells
DP3_G1	Ana6 dernal papilla cells
DP3_G2	Ana6 dernal papilla cells
DP3_G3	Ana6 dernal papilla cells
DP3_G4	Ana6 dernal papilla cells
DP3_G5	Ana6 dernal papilla cells
DP3_G6	Ana6 dernal papilla cells
DP3_G7	Ana6 dernal papilla cells
DP3_G8	Ana6 dernal papilla cells
DP3_G9	Ana6 dernal papilla cells
DP3_H10	Ana6 dernal papilla cells
DP3_H11	Ana6 dernal papilla cells
DP3_H1	Ana6 dernal papilla cells
DP3_H2	Ana6 dernal papilla cells
DP3_H3	Ana6 dernal papilla cells
DP3_H4	Ana6 dernal papilla cells
DP3_H5	Ana6 dernal papilla cells
DP3_H6	Ana6 dernal papilla cells
DP3_H7	Ana6 dernal papilla cells
DP3_H8	Ana6 dernal papilla cells
DP3_H9	Ana6 dernal papilla cells
DP5_A10	Ana6 dernal papilla cells
DP5_A11	Ana6 dernal papilla cells
DP5_A12	Ana6 dernal papilla cells
DP5_A2	Ana6 dernal papilla cells
DP5_A3	Ana6 dernal papilla cells
DP5_A4	Ana6 dernal papilla cells
DP5_A5	Ana6 dernal papilla cells
DP5_A7	Ana6 dernal papilla cells
DP5_A8	Ana6 dernal papilla cells
DP5_A9	Ana6 dernal papilla cells
DP5_B10	Ana6 dernal papilla cells
DP5_B11	Ana6 dernal papilla cells
DP5_B12	Ana6 dernal papilla cells
DP5_B1	Ana6 dernal papilla cells
DP5_B2	Ana6 dernal papilla cells
DP5_B3	Ana6 dernal papilla cells
DP5_B4	Ana6 dernal papilla cells
DP5_B5	Ana6 dernal papilla cells
DP5_B6	Ana6 dernal papilla cells
DP5_B7	Ana6 dernal papilla cells
DP5_B8	Ana6 dernal papilla cells
DP5_B9	Ana6 dernal papilla cells
DP5_C10	Ana6 dernal papilla cells
DP5_C11	Ana6 dernal papilla cells
DP5_C12	Ana6 dernal papilla cells
DP5_C1	Ana6 dernal papilla cells
DP5_C2	Ana6 dernal papilla cells
DP5_C3	Ana6 dernal papilla cells
DP5_C4	Ana6 dernal papilla cells
DP5_C5	Ana6 dernal papilla cells
DP5_C6	Ana6 dernal papilla cells
DP5_C7	Ana6 dernal papilla cells
DP5_C8	Ana6 dernal papilla cells
DP5_C9	Ana6 dernal papilla cells
DP5_D10	Ana6 dernal papilla cells
DP5_D12	Ana6 dernal papilla cells
DP5_D1	Ana6 dernal papilla cells
DP5_D2	Ana6 dernal papilla cells
DP5_D3	Ana6 dernal papilla cells
DP5_D4	Ana6 dernal papilla cells
DP5_D5	Ana6 dernal papilla cells
DP5_D6	Ana6 dernal papilla cells
DP5_D7	Ana6 dernal papilla cells
DP5_D8	Ana6 dernal papilla cells
DP5_D9	Ana6 dernal papilla cells
DP5_E10	Ana6 dernal papilla cells
DP5_E11	Ana6 dernal papilla cells
DP5_E12	Ana6 dernal papilla cells
DP5_E2	Ana6 dernal papilla cells
DP5_E3	Ana6 dernal papilla cells
DP5_E4	Ana6 dernal papilla cells
DP5_E5	Ana6 dernal papilla cells
DP5_E6	Ana6 dernal papilla cells
DP5_E8	Ana6 dernal papilla cells
DP5_E9	Ana6 dernal papilla cells
DP5_F10	Ana6 dernal papilla cells
DP5_F11	Ana6 dernal papilla cells
DP5_F12	Ana6 dernal papilla cells
DP5_F1	Ana6 dernal papilla cells
DP5_F2	Ana6 dernal papilla cells
DP5_F3	Ana6 dernal papilla cells
DP5_F4	Ana6 dernal papilla cells
DP5_F5	Ana6 dernal papilla cells
DP5_F6	Ana6 dernal papilla cells
DP5_F7	Ana6 dernal papilla cells
DP5_F8	Ana6 dernal papilla cells
DP5_F9	Ana6 dernal papilla cells
DP5_G10	Ana6 dernal papilla cells
DP5_G11	Ana6 dernal papilla cells
DP5_G12	Ana6 dernal papilla cells
DP5_G1	Ana6 dernal papilla cells
DP5_G4	Ana6 dernal papilla cells
DP5_G5	Ana6 dernal papilla cells
DP5_G6	Ana6 dernal papilla cells
DP5_G7	Ana6 dernal papilla cells
DP5_G9	Ana6 dernal papilla cells
DP5_H10	Ana6 dernal papilla cells
DP5_H11	Ana6 dernal papilla cells
DP5_H1	Ana6 dernal papilla cells
DP5_H3	Ana6 dernal papilla cells
DP5_H4	Ana6 dernal papilla cells
DP5_H5	Ana6 dernal papilla cells
DP5_H6	Ana6 dernal papilla cells
DP5_H7	Ana6 dernal papilla cells
DP5_H8	Ana6 dernal papilla cells
DP5_H9	Ana6 dernal papilla cells
DP6_A10	Ana6 dernal papilla cells
DP6_A2	Ana6 dernal papilla cells
DP6_A3	Ana6 dernal papilla cells
DP6_A4	Ana6 dernal papilla cells
DP6_A6	Ana6 dernal papilla cells
DP6_A8	Ana6 dernal papilla cells
DP6_B10	Ana6 dernal papilla cells
DP6_B11	Ana6 dernal papilla cells
DP6_B12	Ana6 dernal papilla cells
DP6_B2	Ana6 dernal papilla cells
DP6_B4	Ana6 dernal papilla cells
DP6_B6	Ana6 dernal papilla cells
DP6_B7	Ana6 dernal papilla cells
DP6_B8	Ana6 dernal papilla cells
DP6_B9	Ana6 dernal papilla cells
DP6_C10	Ana6 dernal papilla cells
DP6_C11	Ana6 dernal papilla cells
DP6_C12	Ana6 dernal papilla cells
DP6_C1	Ana6 dernal papilla cells
DP6_C2	Ana6 dernal papilla cells
DP6_C3	Ana6 dernal papilla cells
DP6_C4	Ana6 dernal papilla cells
DP6_C5	Ana6 dernal papilla cells
DP6_C6	Ana6 dernal papilla cells
DP6_C8	Ana6 dernal papilla cells
DP6_C9	Ana6 dernal papilla cells
DP6_D11	Ana6 dernal papilla cells
DP6_D12	Ana6 dernal papilla cells
DP6_D1	Ana6 dernal papilla cells
DP6_D2	Ana6 dernal papilla cells
DP6_D4	Ana6 dernal papilla cells
DP6_D5	Ana6 dernal papilla cells
DP6_D6	Ana6 dernal papilla cells
DP6_D7	Ana6 dernal papilla cells
DP6_D8	Ana6 dernal papilla cells
DP6_D9	Ana6 dernal papilla cells
DP6_E10	Ana6 dernal papilla cells
DP6_E11	Ana6 dernal papilla cells
DP6_E12	Ana6 dernal papilla cells
DP6_E2	Ana6 dernal papilla cells
DP6_E3	Ana6 dernal papilla cells
DP6_E4	Ana6 dernal papilla cells
DP6_E6	Ana6 dernal papilla cells
DP6_E7	Ana6 dernal papilla cells
DP6_E8	Ana6 dernal papilla cells
DP6_E9	Ana6 dernal papilla cells
DP6_F10	Ana6 dernal papilla cells
DP6_F11	Ana6 dernal papilla cells
DP6_F12	Ana6 dernal papilla cells
DP6_F1	Ana6 dernal papilla cells
DP6_F2	Ana6 dernal papilla cells
DP6_F3	Ana6 dernal papilla cells
DP6_F4	Ana6 dernal papilla cells
DP6_F6	Ana6 dernal papilla cells
DP6_F7	Ana6 dernal papilla cells
DP6_F8	Ana6 dernal papilla cells
DP6_F9	Ana6 dernal papilla cells
DP6_G10	Ana6 dernal papilla cells
DP6_G12	Ana6 dernal papilla cells
DP6_G1	Ana6 dernal papilla cells
DP6_G2	Ana6 dernal papilla cells
DP6_G3	Ana6 dernal papilla cells
DP6_G4	Ana6 dernal papilla cells
DP6_G5	Ana6 dernal papilla cells
DP6_G6	Ana6 dernal papilla cells
DP6_G7	Ana6 dernal papilla cells
DP6_G8	Ana6 dernal papilla cells
DP6_H10	Ana6 dernal papilla cells
DP6_H11	Ana6 dernal papilla cells
DP6_H12	Ana6 dernal papilla cells
DP6_H1	Ana6 dernal papilla cells
DP6_H2	Ana6 dernal papilla cells
DP6_H3	Ana6 dernal papilla cells
DP6_H4	Ana6 dernal papilla cells
DP6_H5	Ana6 dernal papilla cells
DP6_H6	Ana6 dernal papilla cells
DP6_H9	Ana6 dernal papilla cells
